K 20
MAX SUBP 1059419936599859200
LB 2023
UB 95857
solution value: 2024 | Subp 36 | Time 0.00s
solution value: 2027 | Subp 56 | Time 0.00s
solution value: 2045 | Subp 109 | Time 0.00s
solution value: 2070 | Subp 196 | Time 0.00s
solution value: 2077 | Subp 212 | Time 0.00s
solution value: 2085 | Subp 1489 | Time 0.00s
solution value: 2087 | Subp 1510 | Time 0.00s
solution value: 2100 | Subp 4073 | Time 0.00s
solution value: 2105 | Subp 4094 | Time 0.00s
solution value: 2109 | Subp 6672 | Time 0.00s
solution value: 2112 | Subp 6678 | Time 0.00s
solution value: 2114 | Subp 16988 | Time 0.01s
solution value: 2117 | Subp 16997 | Time 0.01s
solution value: 2118 | Subp 17005 | Time 0.01s
solution value: 2124 | Subp 17011 | Time 0.01s
solution value: 2126 | Subp 29903 | Time 0.02s
solution value: 2128 | Subp 29912 | Time 0.02s
solution value: 2133 | Subp 29915 | Time 0.02s
solution value: 2136 | Subp 29926 | Time 0.02s
solution value: 2142 | Subp 32504 | Time 0.02s
solution value: 2144 | Subp 66074 | Time 0.03s
solution value: 2154 | Subp 68642 | Time 0.03s
solution value: 2155 | Subp 68651 | Time 0.03s
solution value: 2158 | Subp 68654 | Time 0.03s
solution value: 2165 | Subp 68660 | Time 0.03s
solution value: 2167 | Subp 68666 | Time 0.03s
solution value: 2176 | Subp 71244 | Time 0.04s
solution value: 2190 | Subp 378513 | Time 0.19s
solution value: 2195 | Subp 378524 | Time 0.19s
solution value: 2196 | Subp 378532 | Time 0.19s
solution value: 2210 | Subp 378536 | Time 0.19s
solution value: 2211 | Subp 482054 | Time 0.24s
solution value: 2216 | Subp 998248 | Time 0.49s
solution value: 2224 | Subp 998259 | Time 0.49s
solution value: 2233 | Subp 1000835 | Time 0.49s
solution value: 2237 | Subp 1000843 | Time 0.49s
solution value: 2249 | Subp 1000849 | Time 0.49s
solution value: 2257 | Subp 37252477 | Time 18.13s
solution value: 2261 | Subp 37255060 | Time 18.13s
solution value: 2274 | Subp 37255066 | Time 18.13s
solution value: 2280 | Subp 105735119 | Time 51.35s
solution value: 2285 | Subp 105735125 | Time 51.35s
solution value: 2293 | Subp 174212680 | Time 84.58s
solution value: 2301 | Subp 174215263 | Time 84.58s
solution value: 2305 | Subp 174215269 | Time 84.58s
solution value: 2311 | Subp 174228606 | Time 84.59s
solution value: 2313 | Subp 1132871700 | Time 550.52s
solution value: 2314 | Subp 1612183297 | Time 781.44s
solution value: 2330 | Subp 1612185880 | Time 781.44s
solution value: 2333 | Subp 1612185886 | Time 781.44s
solution value: 2335 | Subp 3049399281 | Time 1465.15s
solution value: 2337 | Subp 3049399707 | Time 1465.15s
solution value: 2347 | Subp 3049412619 | Time 1465.16s
Record: 2347
Subp: 7536476882
Time 3600.00
33 41 60 75 126 149 174 226 267 285 304 314 339 357 371 380 409 423 452 484 
