K 30
MAX SUBP -3085868525399572480
LB 4712
UB 120146
solution value: 4734 | Subp 32 | Time 0.00s
solution value: 4753 | Subp 34 | Time 0.00s
solution value: 4756 | Subp 36 | Time 0.00s
solution value: 4776 | Subp 58 | Time 0.00s
solution value: 4780 | Subp 88 | Time 0.00s
solution value: 4799 | Subp 90 | Time 0.00s
solution value: 4813 | Subp 112 | Time 0.00s
solution value: 4818 | Subp 114 | Time 0.00s
solution value: 4822 | Subp 179 | Time 0.00s
solution value: 4825 | Subp 180 | Time 0.00s
solution value: 4845 | Subp 182 | Time 0.00s
solution value: 4853 | Subp 346 | Time 0.00s
solution value: 4862 | Subp 463 | Time 0.00s
solution value: 4866 | Subp 465 | Time 0.00s
solution value: 4874 | Subp 629 | Time 0.00s
solution value: 4880 | Subp 893 | Time 0.00s
solution value: 4887 | Subp 895 | Time 0.00s
solution value: 4906 | Subp 961 | Time 0.00s
solution value: 4914 | Subp 33936 | Time 0.05s
solution value: 4919 | Subp 33938 | Time 0.05s
solution value: 4927 | Subp 33971 | Time 0.05s
solution value: 4929 | Subp 66881 | Time 0.10s
solution value: 4938 | Subp 66883 | Time 0.10s
solution value: 4953 | Subp 66948 | Time 0.10s
solution value: 4965 | Subp 66949 | Time 0.10s
solution value: 4967 | Subp 660174 | Time 1.00s
solution value: 4982 | Subp 660195 | Time 1.00s
solution value: 4987 | Subp 660198 | Time 1.00s
solution value: 5011 | Subp 1253423 | Time 1.90s
solution value: 5015 | Subp 1253424 | Time 1.90s
solution value: 5016 | Subp 1253426 | Time 1.90s
solution value: 5022 | Subp 3031240 | Time 4.59s
solution value: 5026 | Subp 14726920 | Time 22.33s
solution value: 5042 | Subp 15313272 | Time 23.22s
solution value: 5044 | Subp 15313308 | Time 23.22s
solution value: 5049 | Subp 17091558 | Time 25.92s
solution value: 5052 | Subp 17091593 | Time 25.92s
solution value: 5055 | Subp 71405442 | Time 108.56s
solution value: 5070 | Subp 73180093 | Time 111.26s
solution value: 5074 | Subp 128239665 | Time 195.23s
solution value: 5077 | Subp 382107426 | Time 583.64s
solution value: 5081 | Subp 382699544 | Time 584.53s
solution value: 5083 | Subp 383292201 | Time 585.42s
solution value: 5110 | Subp 383292202 | Time 585.42s
solution value: 5115 | Subp 385042313 | Time 588.17s
solution value: 5121 | Subp 387354808 | Time 591.67s
solution value: 5124 | Subp 491389783 | Time 749.38s
solution value: 5128 | Subp 502515248 | Time 766.27s
Record: 5128
Subp: 2321605582
Time 3600.00
7 20 23 31 45 49 67 79 84 89 101 113 134 150 174 181 201 210 226 231 250 270 300 306 324 329 348 362 368 391 
