K 30
MAX SUBP 2565992168703393792
LB 4977
UB 284622
solution value: 4992 | Subp 32 | Time 0.01s
solution value: 4997 | Subp 33 | Time 0.01s
solution value: 5058 | Subp 39 | Time 0.01s
solution value: 5069 | Subp 131 | Time 0.01s
solution value: 5073 | Subp 172 | Time 0.01s
solution value: 5078 | Subp 225 | Time 0.01s
solution value: 5080 | Subp 230 | Time 0.01s
solution value: 5084 | Subp 241 | Time 0.01s
solution value: 5086 | Subp 294 | Time 0.01s
solution value: 5099 | Subp 344 | Time 0.01s
solution value: 5104 | Subp 632 | Time 0.01s
solution value: 5110 | Subp 1304 | Time 0.01s
solution value: 5124 | Subp 1365 | Time 0.01s
solution value: 5127 | Subp 1648 | Time 0.01s
solution value: 5131 | Subp 9126 | Time 0.02s
solution value: 5136 | Subp 9159 | Time 0.02s
solution value: 5138 | Subp 24708 | Time 0.06s
solution value: 5144 | Subp 25043 | Time 0.06s
solution value: 5161 | Subp 25078 | Time 0.06s
solution value: 5168 | Subp 108896 | Time 0.23s
solution value: 5169 | Subp 136552 | Time 0.29s
solution value: 5171 | Subp 136563 | Time 0.29s
solution value: 5178 | Subp 136634 | Time 0.29s
solution value: 5181 | Subp 136639 | Time 0.29s
solution value: 5191 | Subp 136922 | Time 0.29s
solution value: 5194 | Subp 260522 | Time 0.56s
solution value: 5208 | Subp 276286 | Time 0.59s
solution value: 5211 | Subp 276409 | Time 0.59s
solution value: 5213 | Subp 416361 | Time 0.88s
solution value: 5221 | Subp 416382 | Time 0.88s
solution value: 5222 | Subp 1091062 | Time 2.28s
solution value: 5226 | Subp 1091216 | Time 2.28s
solution value: 5230 | Subp 1091835 | Time 2.28s
solution value: 5234 | Subp 1114424 | Time 2.33s
solution value: 5251 | Subp 1114427 | Time 2.33s
solution value: 5252 | Subp 1282043 | Time 2.67s
solution value: 5257 | Subp 9493797 | Time 19.70s
solution value: 5258 | Subp 13823497 | Time 28.68s
solution value: 5260 | Subp 13823896 | Time 28.68s
solution value: 5261 | Subp 13823929 | Time 28.68s
solution value: 5270 | Subp 26252538 | Time 54.46s
solution value: 5272 | Subp 28766361 | Time 59.68s
solution value: 5273 | Subp 31280184 | Time 64.89s
solution value: 5274 | Subp 31420427 | Time 65.19s
solution value: 5285 | Subp 34631965 | Time 71.84s
solution value: 5290 | Subp 34631968 | Time 71.84s
solution value: 5292 | Subp 51251246 | Time 106.29s
solution value: 5294 | Subp 51251273 | Time 106.29s
solution value: 5295 | Subp 51251277 | Time 106.29s
solution value: 5298 | Subp 51390673 | Time 106.58s
solution value: 5322 | Subp 51390676 | Time 106.58s
solution value: 5329 | Subp 51390679 | Time 106.58s
solution value: 5339 | Subp 59770016 | Time 124.00s
solution value: 5342 | Subp 59770049 | Time 124.00s
solution value: 5343 | Subp 406790465 | Time 830.20s
solution value: 5349 | Subp 406813770 | Time 830.25s
solution value: 5350 | Subp 406818456 | Time 830.25s
solution value: 5351 | Subp 406825469 | Time 830.27s
solution value: 5354 | Subp 406825964 | Time 830.27s
solution value: 5360 | Subp 482203912 | Time 981.63s
solution value: 5364 | Subp 482227713 | Time 981.68s
solution value: 5368 | Subp 483903605 | Time 985.04s
Record: 5368
Subp: 1785785053
Time 3600.00
1 59 74 119 142 173 181 211 258 274 300 347 386 417 423 469 485 530 550 573 620 644 664 698 734 770 782 839 863 873 
