K 20
MAX SUBP 5369842732270092288
LB 2209
UB 103831
solution value: 2225 | Subp 22 | Time 0.00s
solution value: 2243 | Subp 25 | Time 0.00s
solution value: 2264 | Subp 37 | Time 0.00s
solution value: 2271 | Subp 76 | Time 0.00s
solution value: 2281 | Subp 118 | Time 0.00s
solution value: 2290 | Subp 165 | Time 0.00s
solution value: 2294 | Subp 220 | Time 0.00s
solution value: 2297 | Subp 256 | Time 0.00s
solution value: 2298 | Subp 299 | Time 0.00s
solution value: 2310 | Subp 340 | Time 0.00s
solution value: 2315 | Subp 363 | Time 0.00s
solution value: 2317 | Subp 465 | Time 0.00s
solution value: 2318 | Subp 480 | Time 0.00s
solution value: 2323 | Subp 483 | Time 0.00s
solution value: 2330 | Subp 488 | Time 0.00s
solution value: 2331 | Subp 671 | Time 0.00s
solution value: 2337 | Subp 1042 | Time 0.00s
solution value: 2341 | Subp 1049 | Time 0.00s
solution value: 2350 | Subp 1057 | Time 0.00s
solution value: 2354 | Subp 1444 | Time 0.00s
solution value: 2357 | Subp 1627 | Time 0.00s
solution value: 2370 | Subp 4888 | Time 0.01s
solution value: 2384 | Subp 5419 | Time 0.01s
solution value: 2394 | Subp 105662 | Time 0.21s
solution value: 2403 | Subp 121517 | Time 0.24s
solution value: 2406 | Subp 162809 | Time 0.32s
solution value: 2407 | Subp 164219 | Time 0.32s
solution value: 2422 | Subp 164576 | Time 0.32s
solution value: 2424 | Subp 1166666 | Time 2.28s
solution value: 2425 | Subp 1166878 | Time 2.28s
solution value: 2427 | Subp 1272181 | Time 2.49s
solution value: 2428 | Subp 2768561 | Time 5.41s
solution value: 2429 | Subp 4987428 | Time 9.73s
solution value: 2446 | Subp 5116302 | Time 9.98s
solution value: 2447 | Subp 5123076 | Time 9.99s
solution value: 2450 | Subp 5488568 | Time 10.71s
solution value: 2454 | Subp 6275933 | Time 12.24s
solution value: 2457 | Subp 6783559 | Time 13.23s
solution value: 2463 | Subp 6783771 | Time 13.23s
solution value: 2465 | Subp 22162173 | Time 43.18s
solution value: 2468 | Subp 22166849 | Time 43.19s
solution value: 2469 | Subp 22166864 | Time 43.19s
solution value: 2470 | Subp 22166989 | Time 43.19s
solution value: 2481 | Subp 22167317 | Time 43.19s
solution value: 2485 | Subp 22167384 | Time 43.19s
solution value: 2487 | Subp 22210193 | Time 43.28s
solution value: 2491 | Subp 22210376 | Time 43.28s
solution value: 2502 | Subp 22210443 | Time 43.28s
solution value: 2506 | Subp 28829258 | Time 56.17s
solution value: 2510 | Subp 42752759 | Time 83.30s
Record: 2510
Subp: 1843218842
Time 3600.00
13 48 94 95 111 140 153 155 197 220 227 251 290 300 312 369 402 424 453 499 
